Reference;Name;Category;Short description;Size;Color;Structure;Price/RUB;Images
VKF0001;"Вязаный кардиган ""FAITH"" VKF0001";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы. Длина по спинке - 100 см  Длина рукава - 41см;42-50;молоко;хлопок, акрил;2022;https://niko-opt.com/12029-large_default/vyazanyj-kardigan-faith-vkf0001.jpg,https://niko-opt.com/12030-large_default/vyazanyj-kardigan-faith-vkf0001.jpg
VKF0002;"Вязаный кардиган ""FAITH"" VKF0002";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы. Длина по спинке - 100 см  Длина рукава - 41см;42-50;пудровый;хлопок, акрил;2022;https://niko-opt.com/12031-large_default/vyazanyj-kardigan-faith-vkf0002.jpg,https://niko-opt.com/12032-large_default/vyazanyj-kardigan-faith-vkf0002.jpg
VKF0003;"Вязаный кардиган ""FAITH"" VKF0003";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы. Длина по спинке - 100 см  Длина рукава - 41см;42-50;светло-серый;хлопок, акрил;2022;https://niko-opt.com/12033-large_default/vyazanyj-kardigan-faith-vkf0003.jpg,https://niko-opt.com/12034-large_default/vyazanyj-kardigan-faith-vkf0003.jpg
VKF0004;"Вязаный кардиган ""FAITH"" VKF0004";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы. Длина по спинке - 100 см  Длина рукава - 41см;42-50;капучино;хлопок, акрил;2022;https://niko-opt.com/12035-large_default/vyazanyj-kardigan-faith-vkf0004.jpg,https://niko-opt.com/12036-large_default/vyazanyj-kardigan-faith-vkf0004.jpg
VKF0005;"Вязаный кардиган ""FAITH"" VKF0005";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы. Длина по спинке - 100 см  Длина рукава - 41см;42-50;джинсовый синий;хлопок, акрил;2022;https://niko-opt.com/12037-large_default/vyazanyj-kardigan-faith-vkf0005.jpg,https://niko-opt.com/12038-large_default/vyazanyj-kardigan-faith-vkf0005.jpg
VKF0006;"Вязаный кардиган ""FAITH"" VKF0006";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы. Длина по спинке - 100 см  Длина рукава - 41см;42-50;шоколадный;хлопок, акрил;2022;https://niko-opt.com/12039-large_default/vyazanyj-kardigan-faith-vkf0006.jpg,https://niko-opt.com/12040-large_default/vyazanyj-kardigan-faith-vkf0006.jpg
VKF0007;"Вязаный кардиган ""FAITH"" VKF0007";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы.  Длина по спинке - 100 см  Длина рукава - 41см;42-50;черный;хлопок, акрил;2022;https://niko-opt.com/12041-large_default/vyazanyj-kardigan-faith-vkf0007.jpg,https://niko-opt.com/12042-large_default/vyazanyj-kardigan-faith-vkf0007.jpg
VKH0002;"Вязаный кардиган ""HELLY"" VKH0002";Кардиганы вязаные;Длина кардигана по спинке - 95 см Длина рукава - 52 см;42-52;персик;шерсть, акрил;2697;https://niko-opt.com/11970-large_default/vyazanyj-kardigan-helly-vkh0002.jpg,https://niko-opt.com/11971-large_default/vyazanyj-kardigan-helly-vkh0002.jpg
VKH0003;"Вязаный кардиган ""HELLY"" VKH0003";Кардиганы вязаные;Длина кардигана по спинке - 95 см Длина рукава - 52 см;42-52;нежно-голубой;шерсть, акрил;2697;https://niko-opt.com/11972-large_default/vyazanyj-kardigan-helly-vkh0003.jpg,https://niko-opt.com/11973-large_default/vyazanyj-kardigan-helly-vkh0003.jpg
VKH0005;"Вязаный кардиган ""HELLY"" VKH0005";Кардиганы вязаные;Длина кардигана по спинке - 95 см Длина рукава - 52 см;42-52;марсала;шерсть, акрил;2697;https://niko-opt.com/11974-large_default/vyazanyj-kardigan-helly-vkh0005.jpg,https://niko-opt.com/11976-large_default/vyazanyj-kardigan-helly-vkh0005.jpg,https://niko-opt.com/11975-large_default/vyazanyj-kardigan-helly-vkh0005.jpg
VKI0002;"Вязаный кардиган ""IRIS"" VKI0002";Кардиганы вязаные;Длина кардигана по спинке - 80 см Длина рукава - 53 см;42-52;персик;шерсть, акрил;2697;https://niko-opt.com/11993-large_default/vyazanyj-kardigan-iris-vki0002.jpg,https://niko-opt.com/11994-large_default/vyazanyj-kardigan-iris-vki0002.jpg
VKI0003;"Вязаный кардиган ""IRIS"" VKI0003";Кардиганы вязаные;Длина кардигана по спинке - 80 см Длина рукава - 53 см;42-52;нежно-голубой;шерсть, акрил;2697;https://niko-opt.com/11991-large_default/vyazanyj-kardigan-iris-vki0003.jpg,https://niko-opt.com/11992-large_default/vyazanyj-kardigan-iris-vki0003.jpg
VKI0004;"Вязаный кардиган ""IRIS"" VKI0004";Кардиганы вязаные;Длина кардигана по спинке - 80 см Длина рукава - 53 см;42-52;мятный;шерсть, акрил;2697;https://niko-opt.com/11989-large_default/vyazanyj-kardigan-iris-vki0004.jpg,https://niko-opt.com/11990-large_default/vyazanyj-kardigan-iris-vki0004.jpg
VKI0005;"Вязаный кардиган ""IRIS"" VKI0005";Кардиганы вязаные;Длина кардигана по спинке - 80 см Длина рукава - 53 см;42-52;марсала;шерсть, акрил;2697;https://niko-opt.com/11987-large_default/vyazanyj-kardigan-iris-vki0005.jpg,https://niko-opt.com/11988-large_default/vyazanyj-kardigan-iris-vki0005.jpg
VKI0006;"Вязаный кардиган ""IRIS"" VKI0006";Кардиганы вязаные;Длина кардигана по спинке - 80 см Длина рукава - 53 см;42-52;хаки;шерсть, акрил;2697;https://niko-opt.com/11985-large_default/vyazanyj-kardigan-iris-vki0006.jpg,https://niko-opt.com/11986-large_default/vyazanyj-kardigan-iris-vki0006.jpg
VKI0007;"Вязаный кардиган ""IRIS"" VKI0007";Кардиганы вязаные;Длина кардигана по спинке - 80 см Длина рукава - 53 см;42-52;джинсовый синий;шерсть, акрил;2697;https://niko-opt.com/11983-large_default/vyazanyj-kardigan-iris-vki0007.jpg,https://niko-opt.com/11984-large_default/vyazanyj-kardigan-iris-vki0007.jpg
VKL0007;"Вязаный кардиган ""LIKA"" VKL0007";Кардиганы вязаные;Длина по спинке -116 см Длина рукава - 60 см;42-50;марсала;хлопок, акрил;1764;https://niko-opt.com/10541-large_default/vyazanyj-kardigan-lika-vkl0007.jpg,https://niko-opt.com/10542-large_default/vyazanyj-kardigan-lika-vkl0007.jpg
VKL0008;"Вязаный кардиган ""LIKA"" VKL0008";Кардиганы вязаные;Длина по спинке -116 см Длина рукава - 60 см;42-50;зеленый;хлопок, акрил;1764;https://niko-opt.com/12100-large_default/vyazanyj-kardigan-lika-vkl0008.jpg,https://niko-opt.com/12101-large_default/vyazanyj-kardigan-lika-vkl0008.jpg
VKL0010;"Вязаный кардиган ""LIKA"" VKL0010";Кардиганы вязаные;Длина по спинке -116 см Длина рукава - 60 см;42-50;голубой;хлопок, акрил;1764;https://niko-opt.com/10507-large_default/vyazanyj-kardigan-lika-vkl0010.jpg,https://niko-opt.com/10508-large_default/vyazanyj-kardigan-lika-vkl0010.jpg
VKL0012;"Вязаный кардиган ""LIKA"" VKL0012";Кардиганы вязаные;Длина по спинке -116 см Длина рукава - 60 см;42-50;электрик;хлопок, акрил;1764;https://niko-opt.com/8344-large_default/vyazanyj-kardigan-lika-vkl0012.jpg,https://niko-opt.com/8345-large_default/vyazanyj-kardigan-lika-vkl0012.jpg
VKG0003;Вязаный кардиган GRETTA VKG0003;Кардиганы вязаные;"Вязаный кардиган ""GRETTA"" выполнен в крупной вязке. Интересный крой сделает Вас неотразимой холодными вечерами. Длина по спинке - 80 см  Длина рукава - 50 см";42-52;терракотовый;хлопок, акрил;2322;https://niko-opt.com/12021-large_default/vyazanyj-kardigan-gretta-vkg0003.jpg,https://niko-opt.com/12022-large_default/vyazanyj-kardigan-gretta-vkg0003.jpg
VKG0006;Вязаный кардиган GRETTA VKG0006;Кардиганы вязаные;"Вязаный кардиган ""GRETTA"" выполнен в крупной вязке. Интересный крой сделает Вас неотразимой холодными вечерами. Длина по спинке - 80 см  Длина рукава - 50 см";42-52;джинсовый синий;хлопок, акрил;2322;https://niko-opt.com/12025-large_default/vyazanyj-kardigan-gretta-vkg0006.jpg,https://niko-opt.com/12026-large_default/vyazanyj-kardigan-gretta-vkg0006.jpg
VKG0007;Вязаный кардиган GRETTA VKG0007;Кардиганы вязаные;"Вязаный кардиган ""GRETTA"" выполнен в крупной вязке. Интересный крой сделает Вас неотразимой холодными вечерами. Длина по спинке - 80 см  Длина рукава - 50 см";42-52;графит;хлопок, акрил;2322;https://niko-opt.com/12027-large_default/vyazanyj-kardigan-gretta-vkg0007.jpg,https://niko-opt.com/12028-large_default/vyazanyj-kardigan-gretta-vkg0007.jpg
KSA0001;"Вязаный костюм ""AIRON"" KSA0001";Костюмы вязаные;Длина кофты по спинке - 65 см  Длина рукава - 67 см  Длина штанов по наружному шву - 100 см  Длина штанов по внутреннему шву - 75 см  Высота посадки - 32 см;42-48;черный, белый;хлопок, акрил;1686;https://niko-opt.com/12007-large_default/vyazanyj-kostyum-airon-ksa0001.jpg,https://niko-opt.com/12008-large_default/vyazanyj-kostyum-airon-ksa0001.jpg
KSA0002;"Вязаный костюм ""AIRON"" KSA0002";Костюмы вязаные;Длина кофты по спинке - 65 см  Длина рукава - 67 см  Длина штанов по наружному шву - 100 см  Длина штанов по внутреннему шву - 75 см  Высота посадки - 32 см;42-48;салатовый, черный;хлопок, акрил;1686;https://niko-opt.com/12013-large_default/vyazanyj-kostyum-airon-ksa0002.jpg,https://niko-opt.com/12014-large_default/vyazanyj-kostyum-airon-ksa0002.jpg
KSA0004;"Вязаный костюм ""AIRON"" KSA0004";Костюмы вязаные;Длина кофты по спинке - 65 см  Длина рукава - 67 см  Длина штанов по наружному шву - 100 см  Длина штанов по внутреннему шву - 75 см  Высота посадки - 32 см;42-48;розовый неон, черный;хлопок, акрил;1686;https://niko-opt.com/12011-large_default/vyazanyj-kostyum-airon-ksa0004.jpg,https://niko-opt.com/12012-large_default/vyazanyj-kostyum-airon-ksa0004.jpg
KSB0003;"Вязаный костюм ""BEILY"" KSB0003";Костюмы вязаные;"Вязаный костюм ""BEILY"" – тот вид одежды, который и поднимет настроение, и согреет, будучи всесезонным предметом женского гардероба. Вертикально вывязанный ломпас на штанах добавит роста. Длина кофты по спинке - 65 см  Длина рукава - 67 см  Длина штанов по наружному шву - 100 см  Длина штанов по внутреннему шву - 75 см  Высота посадки - 32 см";42-48;марсала;хлопок, акрил;1686;https://niko-opt.com/12017-large_default/vyazanyj-kostyum-beily-ksb0003.jpg,https://niko-opt.com/12018-large_default/vyazanyj-kostyum-beily-ksb0003.jpg
VKC0002;"Вязаный костюм ""COLOS"" VKC0002";Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;темно-синий;хлопок, акрил;1689;https://niko-opt.com/12115-large_default/vyazanyj-kostyum-colos-vkc0002.jpg,https://niko-opt.com/12116-large_default/vyazanyj-kostyum-colos-vkc0002.jpg
VKC0005;"Вязаный костюм ""COLOS"" VKC0005";Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;капучино;хлопок, акрил;1689;https://niko-opt.com/12117-large_default/vyazanyj-kostyum-colos-vkc0005.jpg,https://niko-opt.com/12118-large_default/vyazanyj-kostyum-colos-vkc0005.jpg
VKC0007;"Вязаный костюм ""COLOS"" VKC0007";Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;джинсовый синий;хлопок, акрил;1689;https://niko-opt.com/12119-large_default/vyazanyj-kostyum-colos-vkc0007.jpg,https://niko-opt.com/12120-large_default/vyazanyj-kostyum-colos-vkc0007.jpg
VKC0010;"Вязаный костюм ""COLOS"" VKC0010";Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;черный;хлопок, акрил;1689;https://niko-opt.com/12123-large_default/vyazanyj-kostyum-colos-vkc0010.jpg,https://niko-opt.com/12124-large_default/vyazanyj-kostyum-colos-vkc0010.jpg
VKC0012;"Вязаный костюм ""COLOS"" VKC0012";Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;светло-серый;хлопок, акрил;1689;https://niko-opt.com/12125-large_default/vyazanyj-kostyum-colos-vkc0012.jpg,https://niko-opt.com/12126-large_default/vyazanyj-kostyum-colos-vkc0012.jpg
VKC0013;"Вязаный костюм ""COLOS"" VKC0013";Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;молоко;хлопок, акрил;1689;https://niko-opt.com/12127-large_default/vyazanyj-kostyum-colos-vkc0013.jpg,https://niko-opt.com/12128-large_default/vyazanyj-kostyum-colos-vkc0013.jpg
VKC0015;"Вязаный костюм ""COLOS"" VKC0015";Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;марсала;хлопок, акрил;1689;https://niko-opt.com/12129-large_default/vyazanyj-kostyum-colos-vkc0015.jpg,https://niko-opt.com/12130-large_default/vyazanyj-kostyum-colos-vkc0015.jpg
KSD0001;"Вязаный костюм ""DANA"" KSD0001";Костюмы вязаные;"Симпатичный вязаный костюм ""DANA"". Штаны с накладными карманами на манжетах. Длина кофты по спинке: 67 см Длина рукава: 61 см Длина штанов по внешнему шву: 101 см Длина штанов по внутреннему шву: 76 см";42-46;графит;хлопок, акрил;1689;https://niko-opt.com/12083-large_default/vyazanyj-kostyum-dana-ksd0001.jpg,https://niko-opt.com/12084-large_default/vyazanyj-kostyum-dana-ksd0001.jpg
KSD0002;"Вязаный костюм ""DANA"" KSD0002";Костюмы вязаные;"Симпатичный вязаный костюм ""DANA"". Штаны с накладными карманами на манжетах. Длина кофты по спинке: 67 см Длина рукава: 61 см Длина штанов по внешнему шву: 101 см Длина штанов по внутреннему шву: 76 см";42-46;оливковый;хлопок, акрил;1689;https://niko-opt.com/7309-large_default/vyazanyj-kostyum-dana-ksd0002.jpg,https://niko-opt.com/7310-large_default/vyazanyj-kostyum-dana-ksd0002.jpg
KSD0003;"Вязаный костюм ""DANA"" KSD0003";Костюмы вязаные;"Симпатичный вязаный костюм ""DANA"". Штаны с накладными карманами на манжетах. Длина кофты по спинке: 67 см Длина рукава: 61 см Длина штанов по внешнему шву: 101 см Длина штанов по внутреннему шву: 76 см";42-46;марсала;хлопок, акрил;1689;https://niko-opt.com/12085-large_default/vyazanyj-kostyum-dana-ksd0003.jpg,https://niko-opt.com/12086-large_default/vyazanyj-kostyum-dana-ksd0003.jpg
KSD0004;"Вязаный костюм ""DANA"" KSD0004";Костюмы вязаные;"Симпатичный вязаный костюм ""DANA"". Штаны с накладными карманами на манжетах. Длина кофты по спинке: 67 см Длина рукава: 61 см Длина штанов по внешнему шву: 101 см Длина штанов по внутреннему шву: 76 см";42-46;пудровый;хлопок, акрил;1689;https://niko-opt.com/7318-large_default/vyazanyj-kostyum-dana-ksd0004.jpg,https://niko-opt.com/7319-large_default/vyazanyj-kostyum-dana-ksd0004.jpg
KSD0005;"Вязаный костюм ""DANA"" KSD0005";Костюмы вязаные;"Симпатичный вязаный костюм ""DANA"". Штаны с накладными карманами на манжетах. Длина кофты по спинке: 67 см Длина рукава: 61 см Длина штанов по внешнему шву: 101 см Длина штанов по внутреннему шву: 76 см";42-46;песочный;хлопок, акрил;1689;https://niko-opt.com/12087-large_default/vyazanyj-kostyum-dana-ksd0005.jpg,https://niko-opt.com/12088-large_default/vyazanyj-kostyum-dana-ksd0005.jpg
SKE0002;"Вязаный костюм ""ELLY"" SKE0002";Костюмы вязаные;Кремовый вязаный костюм-двойка ELLY. Вязаный джемпер в рубчик с V-образным вырезом и заниженной линией плеч. Штаны с лампасами на кулиске. Джемпер можно носить задом наперед. Замеры джемпера: длина по спинке - 60 см, длина рукава - 54 см. Замеры штанов: длина по наружному шву - 100 см, по внутреннему шву - 74 см, Высота посадки - 32 см.;42-46;кремовый;хлопок, акрил;1725;https://niko-opt.com/11999-large_default/vyazanyj-kostyum-elly-ske0002.jpg,https://niko-opt.com/12000-large_default/vyazanyj-kostyum-elly-ske0002.jpg
SKE0003;"Вязаный костюм ""ELLY"" SKE0003";Костюмы вязаные;Вязаный костюм-двойка ELLY цвета графит. Вязаный джемпер в рубчик с V-образным вырезом и заниженной линией плеч. Штаны с лампасами на кулиске. Джемпер можно носить задом наперед. Замеры джемпера: длина по спинке - 60 см, длина рукава - 54 см. Замеры штанов: длина по наружному шву - 100 см, по внутреннему шву - 74 см, Высота посадки - 32 см.;42-46;графит;хлопок, акрил;1725;https://niko-opt.com/12001-large_default/vyazanyj-kostyum-elly-ske0003.jpg,https://niko-opt.com/12002-large_default/vyazanyj-kostyum-elly-ske0003.jpg
